0,0,0,0
1,2,3,5
2,4,6,10
3,6,9,15
4,8,12,20
5,10,15,25
6,12,18,30
7,14,21,35
8,16,24,40
9,18,27,45
10,20,30,50
11,22,33,55
12,24,36,60
13,26,39,65
14,28,42,70
15,30,45,75
16,32,48,80
17,34,51,85
18,36,54,90
19,38,57,95
20,40,60,100
21,42,63,105
22,44,66,110
23,46,69,115
24,48,72,120
25,50,75,125
26,52,78,130
27,54,81,135
28,56,84,140
29,58,87,145
30,60,90,150
31,62,93,155
32,64,96,160
33,66,99,165
34,68,102,170
35,70,105,175
36,72,108,180
37,74,111,185
38,76,114,190
39,78,117,195
40,80,120,200
41,82,123,205
42,84,126,210
43,86,129,215
44,88,132,220
45,90,135,225
46,92,138,230
47,94,141,235
48,96,144,240
49,98,147,245
50,100,150,250
51,102,153,255
52,104,156,260
53,106,159,265
54,108,162,270
55,110,165,275
56,112,168,280
57,114,171,285
58,116,174,290
59,118,177,295
60,120,180,300
61,122,183,305
62,124,186,310
63,126,189,315
64,128,192,320
65,130,195,325
66,132,198,330
67,134,201,335
68,136,204,340
69,138,207,345
70,140,210,350
71,142,213,355
72,144,216,360
73,146,219,365
74,148,222,370
75,150,225,375
76,152,228,380
77,154,231,385
78,156,234,390
79,158,237,395
80,160,240,400
81,162,243,405
82,164,246,410
83,166,249,415
84,168,252,420
85,170,255,425
86,172,258,430
87,174,261,435
88,176,264,440
89,178,267,445
90,180,270,450
91,182,273,455
92,184,276,460
93,186,279,465
94,188,282,470
95,190,285,475
96,192,288,480
97,194,291,485
98,196,294,490
99,198,297,495
100,200,300,500
